Filename		C:\Users\tld\Desktop\Cs-137 .prm\Cs137 150 cm with collimator on 16Oct24.prm	
TimeStamp		10/16/2024 13:23:07	
Description		Cs-137 150 cm aligned to detector   plane collimator on	
Institution		UWMRRC	
Software Version		3.5.0.40	
Machine Setup:
Room			
Machine Type		Varian	
Machine Model		TrueBeam	
Machine Serial Number		2167	
Beam Type		Undefined	
Energy		-1	
Wedge Angle	deg	0	
Wedge Type	deg	None	
Gantry Angle	deg	0	
Collimator Angle	deg	0	
Collimator Left	cm	0	
Collimator Right	cm	0	
Collimator Top	cm	0	
Collimator Bottom	cm	0	
Rate	MU/min	0	
Dose	MU	0	
Field Size	MU	0 x 0	
Collector Setup:
Orientation		Y Axis	
Tray Mount		No	
SSD	cm	100.000	
Alignment	cm	Light Field	
Buildup	cm	0.000	
Buildup Type	cm	WaterEquiv	
Calibration File	cm	C:\SNC\Profiler\Factors\270794003\ArrayCalibration_6x_35x35.cal	
Collector Config:
Collector Model		IC PROFILER	
Collector Serial		270794003	
Collector Revision		L	
Firmware Version	ms	2.5.6	
Measurement Mode	ms	Continuous	
Nominal Gain	ms	4	
Collection Interval	ms	125	
General Analysis
CAX Dose		1.747828329	
Photon Wedge Angle		6.77864E0096	
Analysis Config		Custom	
Flatness type		Variance	
Symmetry Type		Area (sym)	
Energy Calibration			
Energy Analysis		Intercept	
Penumbra Top		80	
Penumbra Bottom		20	
Flatness Field Percent		80	
Symmetry Field Percent		80	
Base Intensity Point		MAX	
Intensity Field Percentage		50	
X Axis Analysis
Field Size	cm	18.4417	
Beam Center	cm	-1.42294	
Light/Rad Coinc. Bottom	cm	0.643806	
Light/Rad Coinc. Top	cm	-2.20208	
Penumbra Bottom	cm	-5.38692	
Penumbra Top	cm	4.11249	
Flatness Result	perc	12.0034	
Symmetry Result	perc	-0.0925168	
Electron Energy	Ep0		
Electron Energy	D80		
Y Axis Analysis
Field Size	cm	19.3989	
Beam Center	cm	-2.70798	
Light/Rad Coinc. Bottom	cm	2.40743	
Light/Rad Coinc. Top	cm	-3.00852	
Penumbra Bottom	cm	3.66402	
Penumbra Top	cm	3.68989	
Flatness Result	perc	13.9162	
Symmetry Result	perc	0.0730915	
Electron Energy	Ep0		
Electron Energy	D80		
Positive Diagonal Analysis
Field Size	cm	19.6208	
Beam Center	cm	-2.90961	
Light/Rad Coinc. Bottom	cm	-1.42212	
Light/Rad Coinc. Top	cm	-7.24134	
Penumbra Bottom	cm	4.02071	
Penumbra Top	cm	3.99088	
Flatness Result	perc	12.2496	
Symmetry Result	perc	0.076775	
Electron Energy	Ep0		
Electron Energy	D80		
Negative Diagonal Analysis
Field Size	cm	18.3371	
Beam Center	cm	0.989148	
Light/Rad Coinc. Bottom	cm	-5.96275	
Light/Rad Coinc. Top	cm	-3.98445	
Penumbra Bottom	cm	3.87007	
Penumbra Top	cm	3.33181	
Flatness Result	perc	11.0253	
Symmetry Result	perc	2.30943	
Electron Energy	Ep0		
Electron Energy	D80		
Measured Data:	Total Dose-Normalized (%)
Pulses:		0
TimerTics	(1 uSec)	225000685

Detector ID	X Axis Position(cm)	Set 1
	-16.00	7.74325994	
	-15.50	3.96523101	
	-15.00	-3.51261554	
	-14.50	3.73222382	
	-14.00	13.53344204	
	-13.50	14.32308188	
	-13.00	25.38702826	
	-12.50	22.98445895	
	-12.00	42.40749764	
	-11.50	52.80378398	
	-11.00	47.57802083	
	-10.50	62.75465848	
	-10.00	69.81574816	
	-9.50	80.88662316	
	-9.00	90.42052421	
	-8.50	95.41342671	
	-8.00	102.42884386	
	-7.50	104.64789584	
	-7.00	99.24787579	
	-6.50	107.95878150	
	-6.00	97.75035965	
	-5.50	97.06274655	
	-5.00	99.74303949	
	-4.50	107.73759064	
	-4.00	109.94867805	
	-3.50	94.68446315	
	-3.00	104.80732738	
	-2.50	102.63504193	
	-2.00	103.24933770	
	-1.50	112.75230008	
	-1.00	108.11672413	
	0.00	100.00000000	
	1.00	105.78727617	
	1.50	110.03700288	
	2.00	108.53580700	
	2.50	100.12561273	
	3.00	98.89858462	
	3.50	98.06283167	
	4.00	103.63211561	
	4.50	105.70518462	
	5.00	95.25867048	
	5.50	96.24604860	
	6.00	88.36294507	
	6.50	86.79418343	
	7.00	73.82770525	
	7.50	61.31930796	
	8.00	60.83323443	
	8.50	42.56291083	
	9.00	32.16564968	
	9.50	34.16201209	
	10.00	18.74889347	
	10.50	2.90652356	
	11.00	-1.10665301	
	11.50	0.17151345	
	12.00	6.47115160	
	12.50	6.26292452	
	13.00	-3.15916540	
	13.50	-3.21746535	
	14.00	6.36158102	
	14.50	7.46706275	
	15.00	-0.52068007	
	15.50	-1.13412392	
	16.00	2.30872256	
Detector ID	Y Axis Position(cm)	Set 1
	-16.00	-2.99201960	
	-15.50	2.93893936	
	-15.00	5.53371101	
	-14.50	18.08729873	
	-14.00	26.31515827	
	-13.50	34.84639219	
	-13.00	44.20377840	
	-12.50	55.57851295	
	-12.00	57.67384788	
	-11.50	71.53089636	
	-11.00	76.58866483	
	-10.50	89.86782675	
	-10.00	93.83748304	
	-9.50	105.25407439	
	-9.00	100.31897126	
	-8.50	109.35102327	
	-8.00	104.97934536	
	-7.50	101.58239273	
	-7.00	109.80883987	
	-6.50	107.62616680	
	-6.00	104.83263550	
	-5.50	110.28579999	
	-5.00	100.29961420	
	-4.50	105.32904295	
	-4.00	106.00629244	
	-3.50	102.45923344	
	-3.00	102.42825080	
	-2.50	107.91733716	
	-2.00	103.24835048	
	-1.50	108.61614044	
	-1.00	102.16491833	
	-0.50	102.98465367	
	0.00	100.00000000	
	0.50	103.91619102	
	1.00	103.25939044	
	1.50	104.12668180	
	2.00	108.28279817	
	2.50	110.02199813	
	3.00	101.88046506	
	3.50	98.37982472	
	4.00	97.18686552	
