	-1.50	102.90002537	
	-1.00	106.02152199	
	-0.50	100.03980046	
	0.00	100.00000000	
	0.50	99.86093707	
	1.00	100.94675941	
	1.50	100.78300715	
	2.00	104.90773051	
	2.50	104.76893145	
	3.00	97.11135835	
	3.50	98.57920089	
	4.00	95.54218238	
	4.50	96.99155797	
	5.00	92.56625472	
	5.50	79.76483406	
	6.00	58.83028342	
	6.50	40.35334321	
	7.00	29.00475464	
	7.50	14.79513093	
	8.00	10.06755586	
	8.50	13.16011386	
	9.00	1.71770538	
	9.50	0.83755186	
	10.00	-0.00598375	
	10.50	-3.87324110	
	11.00	-6.14885259	
	11.50	-7.77835204	
	12.00	-3.65150756	
	12.50	-1.77187542	
	13.00	0.06514190	
	13.50	0.47229744	
	14.00	-9.22019127	
	14.50	-7.77759482	
	15.00	-3.76233547	
	15.50	1.11391920	
	16.00	-9.44084439	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22.63	-9.84078080	
	-21.92	-4.06930558	
	-21.21	2.88506296	
	-20.51	-6.12340645	
	-19.80	-8.36095719	
	-19.09	-8.60314309	
	-18.38	-5.20258628	
	-17.68	-2.75084330	
	-16.97	0.11915041	
	-16.26	-4.33713421	
	-15.56	-3.74614926	
	-14.85	5.54708678	
	-14.14	-2.21775357	
	-13.43	-3.07262819	
	-12.73	0.56182324	
	-12.02	-0.29594243	
	-11.31	-4.69823432	
	-10.61	-0.61820497	
	-9.90	-3.23614580	
	-9.19	19.17742497	
	-8.49	33.62480437	
	-7.78	54.81124741	
	-7.07	76.21500218	
	-6.36	91.00320219	
	-5.66	97.38314490	
	-4.95	96.64443154	
	-4.24	102.40146867	
	-3.54	99.72419504	
	-2.83	101.07601773	
	-2.12	97.75495814	
	-1.41	101.41075445	
	0.00	100.00000000	
	1.41	105.11050969	
	2.12	102.91569584	
	2.83	112.54814385	
	3.54	101.90329511	
	4.24	92.65100968	
	4.95	70.60379501	
	5.66	43.99526535	
	6.36	25.84642492	
