	-0.50	96.98771393	
	0.00	100.00000000	
	0.50	97.25737962	
	1.00	101.98497944	
	1.50	100.03980294	
	2.00	98.40491309	
	2.50	97.79145272	
	3.00	87.66455515	
	3.50	75.64338767	
	4.00	64.07191648	
	4.50	49.68670785	
	5.00	38.50157312	
	5.50	25.09644735	
	6.00	12.63855994	
	6.50	2.92897530	
	7.00	-0.18046354	
	7.50	0.94625966	
	8.00	4.51557905	
	8.50	3.51531836	
	9.00	2.32845449	
	9.50	1.11672813	
	10.00	-1.82422290	
	10.50	0.57548492	
	11.00	-2.85477056	
	11.50	-1.62040240	
	12.00	1.53773813	
	12.50	4.68476227	
	13.00	2.86736579	
	13.50	1.24945157	
	14.00	0.37121622	
	14.50	-1.45962125	
	15.00	-0.16416256	
	15.50	4.23930300	
	16.00	-6.41866824	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22.63	-3.66690036	
	-21.92	-2.52280145	
	-21.21	0.67369409	
	-20.51	-0.16283195	
	-19.80	-3.01497028	
	-19.09	2.97791783	
	-18.38	-1.53768560	
	-17.68	2.40472636	
	-16.97	-1.46224126	
	-16.26	3.23297417	
	-15.56	2.74048960	
	-14.85	-1.22159275	
	-14.14	2.43952131	
	-13.43	4.34820951	
	-12.73	4.05867893	
	-12.02	6.17695931	
	-11.31	3.12955609	
	-10.61	17.40958659	
	-9.90	33.22572089	
	-9.19	52.59909457	
	-8.49	80.71592994	
	-7.78	93.41796992	
	-7.07	96.24009495	
	-6.36	97.00447265	
	-5.66	96.35795988	
	-4.95	97.80911755	
	-4.24	102.18480657	
	-3.54	102.33066002	
	-2.83	103.17460588	
	-2.12	103.41272787	
	-1.41	98.55156862	
	0.00	100.00000000	
	1.41	103.13995899	
	2.12	98.28649348	
	2.83	95.29318256	
	3.54	78.35847824	
	4.24	57.44658598	
	4.95	33.32544118	
	5.66	16.23596120	
	6.36	8.40595564	
	7.07	3.92116553	
	7.78	6.12835862	
	8.49	7.94459732	
	9.19	3.41231369	
	9.90	6.13699643	
	10.61	2.95609571	
	11.31	6.58108864	
	12.02	4.10760596	
	12.73	2.57398867	
	13.43	-0.58630967	
	14.14	1.41678567	
	14.85	4.04081772	
	15.56	1.26830693	
	16.26	2.36843336	
	16.97	2.84318156	
	17.68	0.71944424	
	18.38	0.71533866	
	19.09	2.54729257	
	19.80	3.23115144	
	20.51	-0.66251149	
	21.21	-4.91184514	
	21.92	-0.47116667	
	22.63	-0.36807900	
Detector ID	Negative Diagonal Position(cm)	Set 1
	-22.63	0.14198527	
	-21.92	4.61806549	
	-21.21	-2.33155590	
	-20.51	1.87325548	
	-19.80	-3.22755778	
	-19.09	-3.66354810	
	-18.38	-1.11617630	
	-17.68	-2.38280306	
	-16.97	1.26483959	
	-16.26	-2.55943836	
	-15.56	0.16115372	
	-14.85	-2.42274994	
	-14.14	-0.84183132	
	-13.43	-0.40409802	
	-12.73	2.43242769	
	-12.02	-0.11308950	
	-11.31	-0.96668565	
	-10.61	1.41847742	
	-9.90	4.52924693	
	-9.19	3.44807741	
	-8.49	5.60562349	
	-7.78	7.35310259	
	-7.07	18.74459336	
	-6.36	41.27208698	
	-5.66	61.83480873	
	-4.95	82.59648882	
	-4.24	93.58584705	
	-3.54	98.36714279	
	-2.83	102.75852821	
	-2.12	99.35163371	
	-1.41	95.70916657	
	0.00	100.00000000	
	1.41	99.16373729	
	2.12	102.34127945	
	2.83	100.90983073	
	3.54	102.49778884	
	4.24	99.12900649	
	4.95	98.70016111	
	5.66	80.71564900	
	6.36	56.72604633	
	7.07	35.39211773	
	7.78	23.56619668	
	8.49	12.43680334	
	9.19	10.53730031	
	9.90	5.99591869	
	10.61	5.76778069	
	11.31	4.14858582	
	12.02	3.47854039	
	12.73	1.95945674	
	13.43	6.18515576	
	14.14	2.51111003	
	14.85	5.17510577	
	15.56	2.12784237	
	16.26	1.42764214	
	16.97	1.07655452	
	17.68	3.14916273	
	18.38	4.71494196	
	19.09	3.78529450	
	19.80	3.64231687	
	20.51	0.46771364	
	21.21	-0.18653031	
	21.92	2.43028883	
	22.63	7.65239274	
